dx;dy
-0.544972942;0.604240146
-0.829964379;0.392531831
-0.602558982;0.187588629
-0.195886613;0.126799869
0.499638266;-0.849590582
0.472676046;-0.735813282
-0.335195975;-0.560200889
0.129000933;-0.239839206
0.248734256;1.556236053
0.203603639;-0.791513015
0.191330778;0.193768981
1.095700204;-0.600192316
0.020486222;-0.061429337
0.484387631;1.256148869
0.218162802;-1.089033728
-0.171344429;-0.388592875
-0.459693033;-0.410579701
0.477231167;0.463897689
1.669086101;-1.114333353
-0.388637973;-0.228838635
0.719206354;0.957868914
0.304513529;-1.57575739
0.471388087;-0.509091418
-0.119142281;0.412443481
-0.637237764;1.661518342
0.406474864;0.007450172
-0.661269342;0.959802584
-1.333911154;1.291545499
0.832575581;-0.471206798
-0.467086309;0.168995359
0.420608868;-0.070523248
0.240765735;-0.825019618
0.655662332;0.470361624
0.139614578;-0.586368927
0.218480646;-0.446090276
0.434296982;0.275507749
-0.946760744;-1.102695381
-0.224461236;-0.082605517
-0.864058921;0.584264907
0.326776758;-0.393770359
-0.31812369;-1.492119812
-0.34409444;-0.0609974
0.444756008;-0.789468287
-0.120581909;0.58477326
1.076760062;0.506661739
-0.989038643;0.672762287
-0.49863818;-0.877325751
0.466638111;0.281553863
-0.696041658;-0.34670439
0.428568412;0.151305822
0.115146511;0.846273652
0.053327914;0.808657811
0.030983881;0.67035465
-0.315989378;1.045242544
0.249374817;-0.665988444
-0.700800757;-0.000397528
-0.680452062;0.904957589
0.03341892;0.208303796
0.869106972;0.213640577
0.232864334;0.34388942
0.514274414;0.196708859
-0.393953397;-0.271564959
0.038278003;1.020278762
-1.361128283;0.291896056
-0.481559945;-0.055626179
-0.376201785;0.700721767
-1.041324973;0.174768652
0.535991784;1.183675897
-0.640218898;0.706372509
0.969937479;0.047260792
0.333436675;-0.834098421
-0.672753134;0.534346998
0.394919513;0.211929474
0.350681947;0.104426091
-0.072042981;0.379440303
-0.134099133;-0.765738589
-0.977230036;0.982621424
-0.122425059;0.18195622
0.371927713;0.390172334
-0.517564044;-0.102745024
0.09030546;-0.107510259
1.400271218;-0.56452532
-0.34970814;-1.005554673
-0.506993303;0.053205372
0.755261237;-0.412811209
-0.501341701;0.324935208
0.575041205;0.20444272
-0.035826187;0.080541044
-0.117267352;0.801128724
0.220267324;0.455660566
0.881732748;-0.109101392
0.657311548;-0.042711168
0.486717713;-0.032495699
-0.451731642;0.930590797
0.170985013;0.437269257
-0.443904488;0.601077268
0.298131453;-0.589156631
0.008825895;-0.014424653
0.034792271;-0.69371099
0.110001073;-0.665238693
-1.095004565;-0.826167151
0.126942899;-0.143567931
-0.103510197;-0.736633521
0.047856167;-0.996938069
-0.605298426;-0.646143661
0.369239011;-0.285277036
-0.551295691;-0.172823167
-0.047090146;-1.02111669
1.188093964;-0.24599137
-0.827444157;-0.523602577
1.234142263;0.842489331
0.563288896;-0.140371815
0.660297165;-0.705265793
-0.247648362;-0.470632764
0.456005952;-0.100454419
-0.190843228;0.263065884
0.028947382;0.354663627
-0.601115874;0.357570577
1.274932985;-1.622893152
-0.192750262;-1.053780372
0.057669512;0.118656629
-0.342576727;-0.549810769
0.278217519;0.635190926
0.652471536;0.209947733
0.372137941;-0.162491873
-1.072334092;-0.647869525
0.402833825;1.20115917
-0.679080369;-1.049547345
-0.295792637;0.719772567
-0.125898695;-0.09219751
-0.258319339;0.39854245
0.297112251;0.347256649
0.83874087;-0.032163083
-1.249537202;-0.026250644
0.19437306;-0.175488829
0.291493906;0.839775491
-0.99410891;-1.181573013
0.389705529;0.731217002
-0.79268477;0.733080696
-1.05625355;0.012831741
-0.947712198;1.585604122
1.637279219;0.313722435
-0.055742945;-0.003988707
0.013854219;-0.19512138
-0.057167261;-0.545504548
0.183314693;-0.263878951
-0.461490278;0.336207076
-0.77023961;0.886933049
-0.785124275;0.702551436
-0.530311506;0.322829726
-0.11504778;0.203780846
0.489865388;0.540227823
-0.725146938;0.142977197
0.477193561;-0.011311323
0.33289852;-0.196268609
0.192451611;0.713986736
-0.356483971;-0.5490754
0.97957431;-0.448143696
-0.195532156;0.407117918
-0.856287435;0.038942007
1.144933278;0.684190537
-0.121782673;-0.067769617
0.857811455;0.304142785
0.150307401;-0.065036206
0.459298308;-0.354473946
-0.181754028;-0.20806866
-0.955556464;-0.089967389
-1.184051664;-0.488559445
-0.126552221;0.40215091
-1.236064978;0.38123282
0.736195496;0.017154623
0.255912368;1.696444644
0.002096901;-1.023586625
0.558999411;0.585023797
-1.025315725;1.012590813
0.249339034;-0.049068628
-0.423431256;-0.464310838
-0.133865375;0.468774159
0.323243636;-0.372326719
-0.338115618;0.335554394
-0.397819332;-0.343717873
0.143197012;0.164586251
0.128760953;0.809333205
-0.908399203;0.186581987
0.179276191;-0.314328268
-0.265203305;0.226384542
-0.130061046;-0.198158845
0.647310736;0.431254246
0.64424921;0.751733434
0.332339776;0.692840934
-0.598188363;0.329869153
0.542771475;-0.998042422
-0.779115205;-0.128595377
0.394212085;-0.214890062
-0.041250151;0.360359198
0.931710564;-0.618586434
0.457302224;-0.215758801
0.803325791;-1.1532614
0.283893025;0.422187762
-0.353371256;1.373165299
